title,release_date,critic_score,audience_score,release_year,movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
Start the Revolution Without Me,"Released Feb 4, 1970",0.83,0.77,1970,tt0066402,Start the Revolution Without Me,1970,M,90 min,"Comedy, History",6.4,"Two mismatched sets of identical twins, one aristocrat, one peasant, mistakenly exchange identities on the eve of the French Revolution.",Bud Yorkin,/name/nm0005570/,"Gene Wilder, 
Donald Sutherland, 
Hugh Griffith, 
Jack MacGowran","/name/nm0000698/,/name/nm0000661/,/name/nm0341518/,/name/nm0532290/",2923.0,
Hercules in New York,"Released Feb 25, 1970",0.14,0.27,1970,tt0065832,Hercules in New York,1970,G,92 min,"Adventure, Comedy, Fantasy",3.3,Hercules is sent to Earth where he finds true love and starts a promising career in the bodybuilder business.,Arthur Allan Seidelman,/name/nm0782381/,"Arnold Stang, 
Arnold Schwarzenegger, 
Deborah Loomis, 
James Karen","/name/nm0822205/,/name/nm0000216/,/name/nm0519678/,/name/nm0439170/",18690.0,
The Ballad of Cable Hogue,"Released May 13, 1970",0.94,0.81,1970,tt0065446,The Ballad of Cable Hogue,1970,R,121 min,"Comedy, Drama, Romance",7.2,"A hobo accidentally stumbles onto a water spring, and creates a profitable way station in the middle of the desert.",Sam Peckinpah,/name/nm0001603/,"Jason Robards, 
Stella Stevens, 
David Warner, 
Strother Martin","/name/nm0001673/,/name/nm0001771/,/name/nm0001831/,/name/nm0001510/",10015.0,3500000.0
The Liberation of L.B. Jones,"Released Mar 18, 1970",0.63,0.92,1970,tt0065979,The Liberation of L.B. Jones,1970,R,102 min,"Crime, Drama, Romance",6.8,"A successful African American businessman has a quarrel with a white policeman, suspecting that he is having an affair with his wife. The policeman's colleagues are seeking to avoid publicity.",William Wyler,/name/nm0943758/,"Lee J. Cobb, 
Anthony Zerbe, 
Roscoe Lee Browne, 
Lola Falana","/name/nm0002011/,/name/nm0001875/,/name/nm0001975/,/name/nm0265832/",1024.5,
Bloody Mama,"Released Mar 24, 1970",0.14,0.42,1970,tt0065481,Bloody Mama,1970,R,90 min,"Crime, Drama",5.7,A psychologically disturbed matriarch presides over her damaged family of bank-robbing misfits.,Roger Corman,/name/nm0000339/,"Shelley Winters, 
Don Stroud, 
Pat Hingle, 
Diane Varsi","/name/nm0001859/,/name/nm0835144/,/name/nm0385757/,/name/nm0890215/",3497.0,
Waterloo,1970,0.3,0.83,1970,tt0066549,Waterloo,1970,G,123 min,"Action, Biography, Drama",7.2,"Facing the decline of everything he has worked to obtain, conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.",Sergey Bondarchuk,/name/nm0094083/,"Rod Steiger, 
Christopher Plummer, 
Orson Welles, 
Jack Hawkins","/name/nm0001768/,/name/nm0001626/,/name/nm0000080/,/name/nm0370144/",10963.0,3052000.0
Gods of the Plague,1970,0.83,0.47,1970,tt0065808,Gods of the Plague,1970,,91 min,"Crime, Drama",6.4,"A man is released from prison and finds the society on the outside less than appealing. With several women as well as the police on his tail, he sets out to find an old friend.",Rainer Werner Fassbinder,/name/nm0001202/,"Hanna Schygulla, 
Margarethe von Trotta, 
Harry Baer, 
Günther Kaufmann","/name/nm0778016/,/name/nm0903137/,/name/nm0006781/,/name/nm0442316/",1427.0,
Taste the Blood of Dracula,1970,0.54,0.54,1970,tt0065073,Taste the Blood of Dracula,1970,R,91 min,"Drama, Fantasy, Horror",6.3,"Three distinguished English gentlemen accidentally resurrect Count Dracula, killing a disciple of his in process. The Count seeks to avenge his dead servant, by making the trio die in the hands of their own children.",Peter Sasdy,/name/nm0765856/,"Christopher Lee, 
Geoffrey Keen, 
Gwen Watford, 
Linda Hayden","/name/nm0000489/,/name/nm0444584/,/name/nm0914220/,/name/nm0370769/",6359.0,
"Tell Me That You Love Me, Junie Moon","Released May 11, 1970",0.22,0.12,1970,tt0066445,"Tell Me That You Love Me, Junie Moon",1970,PG,113 min,"Comedy, Drama, Romance",6.1,"The story of three wildly neurotic characters: A facially disfigured girl, a homosexual paraplegic and an introvert epileptic who, after leaving the hospital, set up housekeeping together in a cottage where they support each other.",Otto Preminger,/name/nm0695937/,"Liza Minnelli, 
Ken Howard, 
Robert Moore, 
James Coco","/name/nm0591485/,/name/nm0397432/,/name/nm0601800/,/name/nm0168394/",980.0,393483.0
Getting Straight,1970,0.33,0.41,1970,tt0065775,Getting Straight,1970,R,124 min,"Comedy, Drama, Romance",6.4,A Vietnam vet and former social radical is conflicted by his desire to become a teacher and his sympathy with anti-establishment student protests.,Richard Rush,/name/nm0750701/,"Elliott Gould, 
Candice Bergen, 
Robert F. Lyons, 
Jeff Corey","/name/nm0001285/,/name/nm0000298/,/name/nm0529150/,/name/nm0179786/",1518.0,3855120.0
